symbol,action,quantity,estimated_value,current_price,target_quantity,current_quantity,remaining_cash_before,remaining_cash_after,timestamp
XLU,BUY,100,8500.0,85.0,100,0,10000.0,1500.0,2024-01-01 10:00:00.000000
TQQQ,BUY,50,4500.0,90.0,50,0,1500.0,0.0,2024-01-01 10:00:00.000000
NUGT,SELL,50.0,0.0,0,target_allocation_not_included,2025-07-29 14:05:16.378644,,,
SIL,SELL,50.0,0.0,0,target_allocation_not_included,2025-07-29 14:05:16.378644,,,
PLTR,SELL,44.0,0.0,0,target_allocation_not_included,2025-07-29 14:05:16.378644,,,
NUGT,SELL,50.0,0.0,0,target_allocation_not_included,2025-07-29 14:06:15.110231,,,
SIL,SELL,50.0,0.0,0,target_allocation_not_included,2025-07-29 14:06:15.110231,,,
PLTR,SELL,44.0,0.0,0,target_allocation_not_included,2025-07-29 14:06:15.110231,,,
XLU,SELL,2,170.3624,85.1812,excess_position,,,,,2025-07-31 03:32:50.433321
TECL,SELL,2,219.4940740740741,109.74703703703705,excess_position,,,,,2025-07-31 03:32:50.433321
TQQQ,SELL,3,277.4017021276596,92.46723404255319,excess_position,,,,,2025-07-31 03:32:50.433321
NUGT,BUY,1,72.8,72.8,,9.0,0.0,77.05,4.25,2025-07-31 03:32:50.433321
